"key","kategorija","naziv"
"","pokucstvo","Xiaomi Mi Temperature and Humidity Monitor Clock"
"","pokucstvo","Domel baštenski set Kyoto TT 101010"
"","pokucstvo","Energizer baterija Litijum CR 2025 (2 KOM)"
"","pokucstvo","RABALUX Hardin, stona lampa, 5W 210lm-720lm, 2700-6000K prkidac na dodir"
"","pokucstvo","RABALUX Roma spoljnaE27 14W antiqe gold IP44"
"","pokucstvo","RABALUX Mokka plafonjera, LED 24W, braon,D41cm"
"","pokucstvo","Cecotec daska za peglanje StrongBoard 400 s5583"
"","pokucstvo","Niska potrošnja energije"
"","pokucstvo","BEPER BC.160G"
"","pokucstvo","MeanIT fiksni telefon ST200 Black"
"","pokucstvo","Panasonic telefon KX-TS500FXW (beli)"
"","it-uredjaji","HP Spectre x360 Convertible 16-aa0010nn, Intel Core Ultra7 155H, 32GB RAM(onboard), 1TB NVMe TLC M.2 SSD, 16inch UWVA 2.8K OLED multitouch, Backlit, FP, Win11Home, US, Nightfall black (A02H8EA)"
"","it-uredjaji","Apple laptop Air 13,6"" M4 10C CPU/10C GPU, 16GB, 512GB, SKY BLUE, CRO - mc6u4cr/a"
"","it-uredjaji","ANKER punjač 512 Charger 20W White Brzi Punjac"
"","it-uredjaji","ABB 4NWP100163R0001 Ups Powervalue 11T G2 B 6000W"
"","it-uredjaji","ABB 4NWP100200R0001 Ups Powervalue 11Rt G2 B 1000W"
"","pokucstvo","Multip produžni kabl Switch 7u/10m"
"","pokucstvo","Multip produžni kabl Switch 6u/5m"
"","pokucstvo","Multip produžni kabl Switch 6u/3m"
"","pokucstvo","Multip produžni kabl Switch 6u/1,4m"
"","pokucstvo","Multip produžni kabl Switch 3u/5m"
"","pokucstvo","Multip produžni kabl Switch 3u/3m"
"","pokucstvo","Multip produžni kabl Switch 3u/1,4m"
"","pokucstvo","Multip produžni kabl Procab 6u/1,4m"
"","pokucstvo","Multip produžni kabl Procab 5u/3m"
"","pokucstvo","Multip produžni kabl Procab 5u/1,4m"
"","pokucstvo","Multip produžni kabl Procab 3u/1,4m"
"","pokucstvo","Multip produžni kabl Switch 7g/5m"
"","pokucstvo","Multip produžni kabl Switch 7g/1,4m"
"","pokucstvo","Multip produžni kabl Switch 5g/10m"
"","pokucstvo","Multip produžni kabl Switch 5g/5m"
"","pokucstvo","Multip produžni kabl Switch 5g/3m"
"","pokucstvo","Multip produžni kabl Switch 5g/1.4m"
"","it-uredjaji","ABB 4NWP100171R0001 Ups Powervalue 11Li Up 480W"
"","it-uredjaji","ABB 4NWP100170R0001 Ups Powervalue 11Li Up 360W"
"","it-uredjaji","ABB 4NWP100174R0001 Ups Powervalue 11Li Up 1200W"
"","it-uredjaji","ABB 4NWP100173R0001 Ups Powervalue 11Li Up 900W"
"","it-uredjaji","ABB 4NWP100172R0001 Ups Powervalue 11Li Up 600W"
"","it-uredjaji","ABB 4NWP100177R0001 Ups Powervalue 11Li Pro 700W"
"","it-uredjaji","Legrand UPS DAKER DK + Tower/Rack, 3000VA/2700W"
"","it-uredjaji","XO produžni kabl WL19 5 utičnica + 2 USB + C 2m"
"","it-uredjaji","XO produžni kabl WL10 4 uticnice + 4 USB 1.8m"
"","it-uredjaji","XO smart zidni razdelnik sa policom WL09 2.4A"
"","it-uredjaji","UGREEN kocka / razdelnik CD268 65 W"
"","it-uredjaji","NPP baterija za UPS NP12V-7.5Ah, AGM BATTERY, 151x65x94x100, 2,07KG, BLACK"
"","it-uredjaji","NPP baterija za UPS NP12V-7Ah, AGM BATTERY, 151x65x94x100, 1,97KG, BLACK"
"","it-uredjaji","EcoFlow dodatna baterija za Glacier frižider"
"","it-uredjaji","EcoFlow smart generator"
"","it-uredjaji","EcoFlow generator River 2 Pro 768Wh"
"","it-uredjaji","EcoFlow generator River 2 Max 512Wh"
"","it-uredjaji","EcoFlow generator River 2 256Wh"
"","it-uredjaji","EcoFlow dodatna baterija za Delta Pro Extra Smart"
"","it-uredjaji","Ecoflow generator Delta Pro 3600 Wh"
"","it-uredjaji","Ecoflow dodatna baterija za Delta Max"
"","it-uredjaji","EcoFlow power station DELTA MAX 2000Wh"
"","it-uredjaji","EcoFlow power station DELTA MAX 1600Wh"
"","it-uredjaji","ABB 4NWP100162R0001 Ups Powervalue 11T G2 B 2700W"
"","it-uredjaji","ABB 4NWP100161R0001 Ups Powervalue 11T G2 B 1800W"
"","it-uredjaji","ABB 4NWP100202R0001 Ups Powervalue 11Rt G2 B 3000W"
"","it-uredjaji","Hoco punjač N38 Delgado EU PD 20 W + QC 3.0 Dual Port"
"","it-uredjaji","Hoco punjač N38 Delgado Type-C PD 20 W + QC 3.0 Dual Port"
"","it-uredjaji","Hoco punjač N38 Delgado Type C - Lightning"
"","it-uredjaji","Hoco punjač N28 Founder PD20W, QC3.0"
"","it-uredjaji","Hoco punjač N28 Founder tip C PD20W, QC3.0"
"","it-uredjaji","XO auto punjač CC48 2,4 A i USB-C kabl"
"","it-uredjaji","UGREEN USB punjač za kola ED018 2 USB FAST 4,8 A"
"","it-uredjaji","DEVIA punjač Smart Series PD 20W Type C"
"","it-uredjaji","Moye punjač Voltaic Super Fast Charger 65W"
"","it-uredjaji","Moye kućni punjač Voltaic USB Charger PD Type-C QC 3.0 28.5W White"
"","it-uredjaji","Promate kućni punjač PowerPort-65 GaN Fast"
"","it-uredjaji","Promate punjač GPS00785"
"","it-uredjaji","MAX MOBILE auto punjač PD QC 3.0 Duo Type C 50W"
"","it-uredjaji","Max Mobile auto punjač 2u1 PD QC i kabl"
"","it-uredjaji","Max Mobile punjač PD Super Fast 2u1 Type-C i kabl"
"","it-uredjaji","Max Mobile punjač PD Super Fast Charge Type C 35W"
"","it-uredjaji","Apple laptop MacBook Air 13.6"" M3, 10C GPU, 24GB, 512GB, SILVER, CRO - mc8n4cr/a"
"","it-uredjaji","HP Laptop 255 G9, AMD Ryzen 7 5825U, 8GB DDR4, 512GB PCIe M.2 SSD, 15.6inch SVA AG FHD, Backlit, FreeDOS, YU, Asteroid silver (969Q9ET)"
"","it-uredjaji","HP notebook 15-fd0019nn, Intel Core i3-N305, 8GB DDR4-3200 RAM, 512GB PCIe NVMe M.2 SSD, 15.6inch IPS, DOS, US, Chalkboard gray (A73TGEA)"
"","it-uredjaji","HP notebook 255 G10, AMD Ryzen 3 7330U, 8GB, 512GB SSD, 15.6inch FHD, DOS, YU, Turbo Silver (7N0C5ES)"
"","it-uredjaji","HP notebook 255 G10, AMD Ryzen 5 7520U, 8GB, 512GB SSD, 15.6inch AG FHD, DOS, YU, Turbo Silver (7N0C7ES)"
"","it-uredjaji","HP notebook 15s-eq2087nm 15.6 inch FHD, AMD Ryzen 7-5700U, 8GB, 512GB, DOS, srebrna(444W1EA)"
"","it-uredjaji","HP notebook 15s-eq2090nm 15.6 inch FHD, AMD Ryzen 5-5500U, 8GB, 512GB, DOS, srebrna (444W4EA)"
"","it-uredjaji","HP notebook 15s-eq2113nm 15.6 inch FHD, AMD Ryzen 3-5300U, 8GB, 256GB, Win 11 Home, srebrna (A14CKEA)"
"","it-uredjaji","HP notebook Pavilion 15-eh1057nm,15.6 inch FHD, AMD Ryzen 5-5500U, 8GB, 512GB, backlit, DOS ,zlatna (A14CJEA)"
"","it-uredjaji","HP notebook Victus 15,6"" 15-fb1006nm DOS FHD AG IPS Ryzen 5-7535HS 8/512GB 2050 4GB backlit Mica Silver"
"","it-uredjaji","HP notebook ProBook 450 G9 FHD IPS i5-1235U 16/512GB SSD Pike Silver"
"","it-uredjaji","HP notebook Pavilion X360 14-EK1011NM FHD IPS TOUCH I5-1335U 8/512GB SSD Space Blue"
